epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,966.217,1.43453,1.81295,1.39031,0.58173,0.39824,0.42944,0.29124,1.26353,1.52195,1.22807,9.99865e-05,9.99865e-05,0.0667712
2,1875.11,1.37833,1.68541,1.35241,0.6029,0.4769,0.50972,0.35139,1.18978,1.22309,1.17576,0.000199965,0.000199965,0.0335378
3,2774.4,1.34729,1.61869,1.33102,0.60732,0.48155,0.51784,0.35884,1.17832,1.21062,1.16705,0.000299856,0.000299856,0.000304365
4,4257.05,1.33772,1.59756,1.32472,0.60509,0.48566,0.51844,0.3594,1.17545,1.20726,1.16626,0.000299707,0.000299707,0.000299707
5,6042.77,1.33471,1.59283,1.32441,0.6067,0.48654,0.51914,0.36118,1.17309,1.20311,1.16443,0.000299479,0.000299479,0.000299479
6,7803.07,1.3366,1.59314,1.32352,0.61113,0.48989,0.52076,0.3624,1.17288,1.20185,1.16379,0.000299187,0.000299187,0.000299187
7,9570.68,1.33384,1.59321,1.32237,0.60747,0.49042,0.52149,0.36243,1.17239,1.20153,1.16319,0.000298829,0.000298829,0.000298829
