epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,847.075,1.53563,1.91959,1.47769,0.36013,0.17738,0.1538,0.09245,1.72483,2.92353,1.55642,0.000333243,0.000333243,0.0670089
2,1627.18,1.5515,2.08949,1.51633,0.50492,0.33997,0.35098,0.22465,1.40479,1.65298,1.34327,0.000666414,0.000666414,0.0340088
3,2673.12,1.52269,2.03037,1.4931,0.51698,0.37326,0.38683,0.25097,1.36878,1.53803,1.30974,0.000998933,0.000998933,0.00100795
4,5238.3,1.49799,1.97557,1.47443,0.5502,0.39841,0.42351,0.2808,1.30751,1.44749,1.27549,0.000997803,0.000997803,0.000997803
5,6396.23,1.46695,1.90049,1.44827,0.58404,0.4154,0.44799,0.30066,1.27636,1.39587,1.25249,0.000996097,0.000996097,0.000996097
6,11423.8,1.44663,1.84962,1.43232,0.58465,0.42478,0.46033,0.31082,1.26011,1.35513,1.2401,0.000993906,0.000993906,0.000993906
7,12201.6,1.43031,1.81109,1.41808,0.59394,0.43024,0.46884,0.31767,1.24795,1.33322,1.23164,0.000991232,0.000991232,0.000991232
8,16228.9,1.41534,1.78107,1.40839,0.59959,0.43456,0.4747,0.32185,1.24135,1.31971,1.22542,0.000988079,0.000988079,0.000988079
9,17629.7,1.40366,1.75429,1.39801,0.6117,0.43448,0.47914,0.32526,1.23752,1.31232,1.22187,0.000984449,0.000984449,0.000984449
10,19674.5,1.39381,1.7348,1.3894,0.61539,0.43792,0.48203,0.32783,1.23565,1.30836,1.2192,0.000980345,0.000980345,0.000980345
11,1107.97,1.3987,1.74087,1.39482,0.61335,0.44098,0.48348,0.32922,1.23198,1.30159,1.21686,0.000975773,0.000975773,0.000975773
12,2188.42,1.39333,1.72902,1.38849,0.61099,0.44276,0.48495,0.33052,1.22925,1.29631,1.2145,0.000970736,0.000970736,0.000970736
13,3255.25,1.38488,1.70896,1.38226,0.60807,0.44597,0.48669,0.33206,1.22512,1.29269,1.21167,0.000965239,0.000965239,0.000965239
14,4396.75,1.37647,1.69284,1.37609,0.61174,0.4471,0.48827,0.33383,1.22406,1.29273,1.21036,0.000959289,0.000959289,0.000959289
15,5502.29,1.36876,1.67853,1.37093,0.61949,0.44398,0.48908,0.33486,1.22187,1.29435,1.20815,0.000952889,0.000952889,0.000952889
16,11019,1.36258,1.66427,1.3657,0.61306,0.44896,0.49046,0.33653,1.22152,1.29631,1.20684,0.000946048,0.000946048,0.000946048
17,12388.6,1.35832,1.65498,1.36134,0.61376,0.45053,0.49147,0.33722,1.22105,1.29911,1.20518,0.000938772,0.000938772,0.000938772
18,13156,1.35325,1.64533,1.35917,0.61716,0.44935,0.49243,0.33831,1.21962,1.30104,1.2039,0.000931067,0.000931067,0.000931067
19,16814.9,1.34969,1.63829,1.35653,0.61601,0.45226,0.49368,0.33966,1.21776,1.30196,1.20252,0.000922942,0.000922942,0.000922942
20,17576.7,1.34575,1.63376,1.35304,0.61639,0.45299,0.4949,0.34124,1.21758,1.30037,1.20138,0.000914405,0.000914405,0.000914405
21,20234,1.34187,1.62414,1.35057,0.61704,0.45404,0.49667,0.3426,1.21611,1.29678,1.19946,0.000905463,0.000905463,0.000905463
22,20987.9,1.33808,1.61608,1.3477,0.61991,0.45512,0.49928,0.34447,1.21411,1.29118,1.19683,0.000896127,0.000896127,0.000896127
