epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,21741.1,1.33362,1.60654,1.34414,0.61194,0.4582,0.50091,0.34595,1.21273,1.28415,1.19484,0.000886404,0.000886404,0.000886404
24,1032.71,1.33497,1.6024,1.34699,0.6076,0.46402,0.50343,0.34745,1.20774,1.26935,1.1922,0.000876305,0.000876305,0.000876305
25,829.688,1.32991,1.59204,1.34329,0.60467,0.46581,0.50466,0.34814,1.20473,1.25875,1.19029,0.000865839,0.000865839,0.000865839
26,1626.49,1.33552,1.60505,1.34545,0.60442,0.46788,0.50547,0.34906,1.20185,1.25066,1.18905,0.000855018,0.000855018,0.000855018
27,4766.33,1.33269,1.59736,1.34272,0.6041,0.47083,0.50687,0.34984,1.19984,1.24498,1.18803,0.000843851,0.000843851,0.000843851
28,6268.54,1.32887,1.59181,1.34086,0.61095,0.46831,0.50767,0.35061,1.19861,1.2404,1.18709,0.000832349,0.000832349,0.000832349
29,7630.53,1.32494,1.58626,1.33938,0.61303,0.4697,0.50865,0.35126,1.19625,1.23692,1.18591,0.000820525,0.000820525,0.000820525
30,16792.1,1.32105,1.57866,1.33635,0.60301,0.47259,0.50899,0.35123,1.1955,1.23391,1.18472,0.000808389,0.000808389,0.000808389
31,17873.4,1.31557,1.57531,1.3328,0.60059,0.47475,0.5097,0.35225,1.19455,1.23193,1.18377,0.000795954,0.000795954,0.000795954
32,18959.3,1.30794,1.57063,1.33094,0.60434,0.47406,0.51036,0.35291,1.19277,1.2299,1.18274,0.000783231,0.000783231,0.000783231
33,23255.1,1.30366,1.5656,1.32874,0.60502,0.47469,0.51082,0.35347,1.19193,1.22847,1.18195,0.000770234,0.000770234,0.000770234
34,24061.5,1.30065,1.56289,1.32596,0.6074,0.47671,0.51189,0.35454,1.19022,1.22645,1.18069,0.000756976,0.000756976,0.000756976
35,25057.3,1.29745,1.55814,1.3243,0.60486,0.47856,0.51307,0.35513,1.18949,1.22431,1.17994,0.000743468,0.000743468,0.000743468
36,26058.2,1.29562,1.55371,1.32304,0.60973,0.47594,0.5142,0.35596,1.18831,1.22188,1.17912,0.000729725,0.000729725,0.000729725
37,27124.2,1.29108,1.54723,1.32125,0.60028,0.47997,0.51396,0.35613,1.1878,1.22011,1.17815,0.000715761,0.000715761,0.000715761
38,36671.8,1.29068,1.54458,1.31956,0.61262,0.47883,0.51516,0.35669,1.18582,1.21823,1.17686,0.000701588,0.000701588,0.000701588
39,37476.2,1.28688,1.54064,1.31981,0.60517,0.48091,0.51549,0.35734,1.18439,1.21512,1.17574,0.000687222,0.000687222,0.000687222
40,38285.8,1.28558,1.53118,1.31645,0.61079,0.47734,0.5163,0.35791,1.18366,1.21309,1.17496,0.000672675,0.000672675,0.000672675
41,39092.1,1.28177,1.53086,1.31483,0.61276,0.47755,0.51739,0.35884,1.1822,1.21084,1.17384,0.000657963,0.000657963,0.000657963
42,39920.9,1.28027,1.52571,1.31317,0.60776,0.48304,0.51806,0.35948,1.1809,1.20847,1.17292,0.000643101,0.000643101,0.000643101
43,40780,1.27608,1.51598,1.31074,0.60825,0.48247,0.51845,0.35996,1.17981,1.20725,1.17224,0.000628101,0.000628101,0.000628101
44,41586.6,1.27506,1.51454,1.30972,0.61058,0.48378,0.51926,0.36096,1.17856,1.20492,1.17142,0.000612981,0.000612981,0.000612981
45,42402.2,1.27169,1.50975,1.30761,0.61462,0.48111,0.51979,0.36143,1.17657,1.20229,1.17019,0.000597754,0.000597754,0.000597754
46,43634.8,1.26955,1.5051,1.30533,0.62087,0.47866,0.52144,0.3623,1.17564,1.2004,1.16891,0.000582435,0.000582435,0.000582435
47,44443.5,1.26661,1.49903,1.30371,0.61376,0.48502,0.52223,0.36292,1.17452,1.19916,1.16825,0.00056704,0.00056704,0.00056704
48,45897,1.26515,1.49723,1.30308,0.61405,0.48662,0.52277,0.36361,1.17297,1.19802,1.16691,0.000551584,0.000551584,0.000551584
49,46723.1,1.26432,1.49141,1.30164,0.61705,0.48628,0.52304,0.36395,1.17293,1.19691,1.16663,0.000536081,0.000536081,0.000536081
50,47653.7,1.26327,1.48812,1.30162,0.62128,0.48372,0.52309,0.36407,1.17263,1.19519,1.16655,0.000520548,0.000520548,0.000520548
51,48462.1,1.25992,1.48836,1.30033,0.61681,0.48822,0.52392,0.36501,1.17176,1.19445,1.16589,0.000505,0.000505,0.000505
52,49268.8,1.2587,1.48012,1.29854,0.61172,0.49045,0.52417,0.36522,1.17099,1.19299,1.16509,0.000489452,0.000489452,0.000489452
53,50075.9,1.25787,1.47787,1.29769,0.61647,0.4885,0.52559,0.36554,1.17047,1.19156,1.16394,0.000473919,0.000473919,0.000473919
54,52983.4,1.25531,1.47376,1.29669,0.6173,0.48949,0.52515,0.36568,1.17031,1.19069,1.16361,0.000458416,0.000458416,0.000458416
55,53781.5,1.25307,1.47075,1.29511,0.61239,0.4886,0.52541,0.36576,1.16969,1.18975,1.16339,0.00044296,0.00044296,0.00044296
56,54584.4,1.24891,1.46617,1.29342,0.6114,0.48939,0.52573,0.36581,1.16948,1.18889,1.1634,0.000427565,0.000427565,0.000427565
57,55384.6,1.25134,1.46528,1.29294,0.61167,0.48857,0.52579,0.36602,1.16906,1.18766,1.16291,0.000412246,0.000412246,0.000412246
58,56348.2,1.24742,1.4613,1.291,0.61321,0.48886,0.52667,0.36655,1.1685,1.18667,1.16247,0.000397019,0.000397019,0.000397019
59,57147,1.24674,1.45833,1.29065,0.61125,0.4896,0.52623,0.36631,1.1675,1.18603,1.16179,0.000381899,0.000381899,0.000381899
60,824.312,1.24066,1.44355,1.28795,0.60844,0.49144,0.52613,0.3665,1.16704,1.18563,1.16144,0.000366899,0.000366899,0.000366899
61,1615.08,1.24294,1.44583,1.28754,0.60835,0.49338,0.52632,0.36654,1.16654,1.18527,1.16096,0.000352037,0.000352037,0.000352037
62,2745.46,1.24185,1.44252,1.28657,0.61272,0.49481,0.52676,0.36675,1.16679,1.18461,1.16076,0.000337325,0.000337325,0.000337325
63,822.309,1.22976,1.42407,1.28155,0.61022,0.49521,0.5263,0.36665,1.16663,1.18455,1.16059,0.000322778,0.000322778,0.000322778
64,1610.11,1.23646,1.43207,1.28324,0.61208,0.49539,0.52602,0.36648,1.16715,1.18483,1.16069,0.000308412,0.000308412,0.000308412
65,4012.05,1.2379,1.43436,1.28431,0.61206,0.49572,0.52634,0.36636,1.16769,1.18458,1.16066,0.000294239,0.000294239,0.000294239
66,7448.63,1.23705,1.43475,1.28434,0.61239,0.49389,0.52639,0.36668,1.16761,1.18422,1.16055,0.000280275,0.000280275,0.000280275
67,8325.63,1.23538,1.43074,1.28304,0.61128,0.49365,0.52653,0.36689,1.16675,1.18403,1.15981,0.000266532,0.000266532,0.000266532
68,9327.25,1.23365,1.42841,1.28189,0.60958,0.49298,0.52681,0.3669,1.1671,1.18362,1.15967,0.000253024,0.000253024,0.000253024
